timestamps,ghi,dni,dhi,apparent_zenith,zenith,azimuth,ghi_calc,delta,S4_tilt,S4_azimuth
2003-04-26 04:00:00-04:00,0,0,0,124.78789622605213,124.78789622605213,89.59680517365337,0.0,,,
2003-04-26 05:00:00-04:00,0,0,0,111.05540405489484,111.05540405489484,83.99770764457156,0.0,,,
2003-04-26 06:00:00-04:00,0,0,0,97.45999305014476,97.45999305014476,78.52438656040448,0.0,,,
2003-04-26 07:00:00-04:00,40,44,36,83.99851268009827,84.13851930919031,72.56606111924742,40.4934465872359,1.2336164680897532,11.948381041041216,90.0
2003-04-26 08:00:00-04:00,240,406,109,71.24147282473636,71.28957015015571,65.48188405382882,239.23887682711705,-0.3171346553678944,67.19502345336954,90.0
2003-04-26 09:00:00-04:00,461,683,110,59.225711767670035,59.25346060762353,56.38148118648951,459.17772447774894,-0.3952875319416619,54.43064250850247,90.0
2003-04-26 10:00:00-04:00,642,798,112,48.642772442761355,48.66160336753319,43.9256967086809,639.0829721410453,-0.4543657101175584,38.2402887670066,90.0
2003-04-26 11:00:00-04:00,763,840,123,40.66242093334736,40.67667388883789,26.473192261409054,760.0557933564131,-0.3858724303521469,20.952945547902544,90.0
2003-04-26 12:00:00-04:00,815,885,106,37.02404539432029,37.036562126744904,3.8520570453221126,812.4524107232867,-0.3125876413145183,2.900599894430414,90.0
2003-04-26 13:00:00-04:00,789,880,102,38.96861706432216,38.98203986151291,340.2713000385065,786.0620092038557,-0.3723689221982607,15.272338852651544,270.0
2003-04-26 14:00:00-04:00,689,829,109,45.78803410936569,45.80508068578705,321.05492452069257,686.8971669474552,-0.3052007333156514,32.8668236877202,270.0
2003-04-26 15:00:00-04:00,525,761,94,55.712396148086015,55.73666557533639,307.2068943630643,522.4409334018854,-0.48744125678372474,49.43359182767577,270.0
2003-04-26 16:00:00-04:00,312,521,111,67.36821650552608,67.4076170113181,297.23383482364864,311.15391726393216,-0.2711803641243084,64.87864101338647,270.0
2003-04-26 17:00:00-04:00,95,180,63,79.95946278969012,80.04836965779316,289.6465246719261,94.10701167792838,-0.9399877074438068,21.21614567435634,270.0
2003-04-26 18:00:00-04:00,3,0,3,93.2484299374864,93.2484299374864,283.43413886807366,3.0,0.0,,
2003-04-26 19:00:00-04:00,0,0,0,106.77631004922458,106.77631004922458,277.9046745230863,0.0,,,
2003-04-26 20:00:00-04:00,0,0,0,120.4834840938152,120.4834840938152,272.47143856310186,0.0,,,
2003-04-26 21:00:00-04:00,0,0,0,134.24539489724506,134.24539489724506,266.3884577837899,0.0,,,
2003-04-26 22:00:00-04:00,0,0,0,147.88633668004624,147.88633668004624,258.10602082972974,0.0,,,
2003-04-26 23:00:00-04:00,0,0,0,160.89419101847443,160.89419101847443,242.37833975766824,0.0,,,
2003-04-27 00:00:00-04:00,0,0,0,170.00855049519805,170.00855049519805,193.36056118836413,0.0,,,
2003-04-27 01:00:00-04:00,0,0,0,164.58837514132978,164.58837514132978,126.8960872974875,0.0,,,
2003-04-27 02:00:00-04:00,0,0,0,152.12493819006565,152.12493819006565,105.45610294202822,0.0,,,
2003-04-27 03:00:00-04:00,0,0,0,138.5978494274654,138.5978494274654,95.75654025865475,0.0,,,
2003-04-27 04:00:00-04:00,0,0,0,124.85689052972685,124.85689052972685,89.21136301683958,0.0,,,
2003-04-27 05:00:00-04:00,0,0,0,111.1294471697166,111.1294471697166,83.65996893750116,0.0,,,
2003-04-27 06:00:00-04:00,0,0,0,97.54604030063913,97.54604030063913,78.20981396826687,0.0,,,
